id,NRIC,Type,Subtype,Therapist,Date Diagnosed
1,S8667408P,Physical,Haemorrhoids,S1361500H,29-01-1995
2,S5813103X,Mental,Schizophrenia,S1483342G,04-10-2010
3,S9208481V,Chronic,Heart Disease,S5119711C,03-12-1998
4,S3470107P,Mental,Schizophrenia,S5633830K,24-10-2012
5,S4821364J,Physical,Gout,S2526745K,10-08-1994
6,S8317441X,Mental,Panic Attack,S1483342G,22-10-2010
7,S2766949Q,Chronic,Diabetes,S4004274M,29-09-2003
8,S8528067K,Physical,Cataracts,S1361500H,04-12-2014
9,S4959927M,Common,Cold,S1483342G,09-06-2004
10,S6093408T,Chronic,Heart Disease,S5119711C,23-10-1996
11,S1395070L,Common,Headaches & Migraines,S5119711C,23-11-2007
12,S1002874L,Mental,Schizophrenia,S5633830K,18-04-2009
13,S4464666C,Physical,Haemorrhoids,S6505514W,23-05-2006
14,S8590328I,Mental,Depression,S4004274M,24-10-1984
15,S6717881U,Chronic,Stroke,S7854499W,29-11-2003
16,S9253049P,Mental,Schizophrenia,S6505514W,04-08-2002
17,S3748968A,Mental,Eating Disorders,S2526745K,18-11-2016
18,S3469880K,Common,Cold,S6336826K,05-02-2000
19,S1113420L,Mental,Depression,S6505514W,01-06-1988
20,S2731758V,Physical,Bronchitis,S1361500H,29-01-2000
21,S1469889Q,Common,Headaches & Migraines,S5633830K,01-09-1991
22,S5517253G,Mental,Panic Attack,S1483342G,28-03-2001
23,S5872730E,Mental,Eating Disorders,S1483342G,25-01-1998
24,S3632347D,Physical,Urinary,S5633830K,10-07-2007
25,S5727140L,Physical,Urinary,S1483342G,16-10-1984
26,S6318938W,Mental,Eating Disorders,S1483342G,26-04-2008
27,S1660863F,Chronic,Cancer,S5119711C,24-02-1984
28,S3500541Q,Physical,Cataracts,S5119711C,18-10-2008
29,S9888909V,Mental,Eating Disorders,S2526745K,26-11-1994
30,S7133907P,Common,Headaches & Migraines,S6336826K,10-03-1999
31,S7087806O,Chronic,Asthma,S1361500H,16-07-1997
32,S2449583J,Mental,Obsessive-Compulsive Disorder,S4004274M,01-03-2013
33,S7616883V,Common,Cold,S2526745K,23-07-2005
34,S8483323Y,Mental,Panic Attack,S5119711C,26-07-1982
35,S7739540U,Mental,Obsessive-Compulsive Disorder,S7854499W,15-07-2006
36,S8556112N,Mental,Schizophrenia,S4004274M,01-05-1980
37,S8821204Q,Physical,Backpain,S5119711C,20-03-1992
38,S9574027G,Common,Headaches & Migraines,S5633830K,11-07-2007
39,S2260721E,Common,Allergy,S5119711C,19-02-2011
40,S6839984K,Mental,Schizophrenia,S5119711C,16-06-2013
41,S6785868O,Common,Headaches & Migraines,S5633830K,07-10-1985
42,S4980626L,Mental,Obsessive-Compulsive Disorder,S3623914K,29-09-2001
43,S6721992I,Common,Headaches & Migraines,S6336826K,27-12-1980
44,S8249906R,Physical,Bronchitis,S2526745K,25-01-1980
45,S6252443F,Physical,Backpain,S4004274M,01-10-2009
46,S3819981F,Mental,Depression,S1361500H,27-12-1998
47,S3023538V,Mental,Panic Attack,S5119711C,01-12-1993
48,S8424321Z,Mental,Panic Attack,S1361500H,30-09-2010
49,S3877006D,Common,Cold,S3623914K,23-08-2003
50,S9648573S,Mental,Schizophrenia,S6505514W,16-04-1996
51,S4479630V,Chronic,Heart Disease,S6505514W,22-12-2003
52,S3654759E,Chronic,Asthma,S6505514W,12-01-1980
53,S8131459M,Physical,Backpain,S5119711C,20-08-1984
54,S8547853L,Physical,Chickenpox,S4004274M,04-08-1991
55,S1580029F,Chronic,Hypertension,S5633830K,20-04-1994
56,S8897061R,Mental,Panic Attack,S1483342G,15-08-2008
57,S1555162S,Common,Cold,S1483342G,25-11-1982
58,S8274053F,Mental,Obsessive-Compulsive Disorder,S1483342G,07-07-2009
59,S6164363G,Common,Allergy,S1361500H,17-02-2003
60,S2225716Z,Common,Allergy,S7854499W,05-01-2008
61,S4748479T,Physical,Urinary,S6336826K,11-08-1995
62,S1025871I,Common,Allergy,S5633830K,20-07-1993
63,S3536986X,Chronic,Hypertension,S7854499W,06-07-1992
64,S3201012B,Chronic,Asthma,S5119711C,15-08-2001
65,S6382548X,Chronic,Blood Cholesterol,S5633830K,30-03-2000
66,S7256244R,Common,Headaches & Migraines,S6505514W,25-11-2017
67,S4759733S,Mental,Depression,S1483342G,21-09-1985
68,S4075788W,Common,Cold,S6505514W,19-10-2011
69,S4923205E,Common,Headaches & Migraines,S1361500H,12-09-2011
70,S3233842F,Mental,Schizophrenia,S3623914K,02-04-1984
71,S1217590Y,Chronic,Hypertension,S1361500H,13-09-1986
72,S5650232O,Common,Headaches & Migraines,S1361500H,01-05-1997
73,S7624747K,Chronic,Diabetes,S6336826K,17-06-2000
74,S4881532P,Physical,Urinary,S2526745K,28-03-1989
75,S8923095F,Mental,Schizophrenia,S1483342G,29-06-2002
76,S6795540Y,Chronic,Hypertension,S6336826K,28-06-1986
77,S3679545Z,Mental,Depression,S1361500H,20-08-1984
78,S6921484I,Mental,Eating Disorders,S2526745K,06-10-1991
79,S4731299N,Common,Headaches & Migraines,S3623914K,07-01-2013
80,S8729984J,Chronic,Cancer,S3623914K,31-05-1989
81,S5287620P,Physical,Caries,S1483342G,23-01-2010
82,S7917587D,Chronic,Cancer,S5119711C,16-04-2010
83,S2373924N,Mental,Panic Attack,S5633830K,07-04-1982
84,S5702021D,Physical,Caries,S4004274M,29-11-2011
85,S6610110O,Mental,Depression,S3623914K,24-01-2007
86,S2761085F,Chronic,Heart Disease,S5633830K,06-04-1999
87,S2223096T,Physical,Cataracts,S5633830K,14-01-1991
88,S4980626L,Mental,Panic Attack,S6505514W,24-09-1990
89,S5352330R,Common,Allergy,S2526745K,16-02-2016
90,S5715879M,Common,Headaches & Migraines,S7854499W,02-01-1990
91,S7337461K,Common,Cold,S1483342G,20-02-2012
92,S2040568B,Mental,Schizophrenia,S1361500H,23-06-2018
93,S8754905J,Common,Headaches & Migraines,S7854499W,07-12-1987
94,S3522801O,Physical,Haemorrhoids,S2526745K,29-10-1983
95,S4505680Z,Common,Allergy,S1361500H,26-02-1997
96,S2198863C,Common,Headaches & Migraines,S4004274M,28-09-2003
97,S6631686D,Common,Allergy,S5119711C,29-11-1995
98,S1691197D,Physical,Caries,S7854499W,25-10-2005
99,S8754540Z,Mental,Panic Attack,S4004274M,30-01-1990
100,S8099534R,Chronic,Blood Cholesterol,S1483342G,26-11-2016
101,S9869414I,Physical,Urinary,S3623914K,07-08-2006
102,S9485236E,Mental,Schizophrenia,S2526745K,26-07-2012
103,S9817190G,Mental,Eating Disorders,S5119711C,15-03-1994
104,S8447587X,Chronic,Asthma,S4004274M,06-10-1989
105,S1781730G,Common,Headaches & Migraines,S5119711C,22-07-1996
106,S3632347D,Chronic,Hypertension,S5119711C,09-12-1988
107,S8513976F,Mental,Obsessive-Compulsive Disorder,S2526745K,21-09-2008
108,S6938957G,Chronic,Stroke,S4004274M,22-09-1993
