id,NRIC,Type,Subtype,Date,Filename
39,S2260721E,Illness,Allergy,19-02-2011,
59,S6164363G,Illness,Allergy,17-02-2003,
60,S2225716Z,Illness,Allergy,05-01-2008,
62,S1025871I,Illness,Allergy,20-07-1993,
89,S5352330R,Illness,Allergy,16-02-2016,
95,S4505680Z,Illness,Allergy,26-02-1997,
97,S6631686D,Illness,Allergy,29-11-1995,
113,S7074688V,Illness,Allergy,06-03-2006,
120,S7971670R,Illness,Allergy,14-05-1987,
129,S2534486B,Illness,Allergy,03-11-1989,
141,S7972496R,Illness,Allergy,31-05-1990,
152,S5281795N,Illness,Allergy,28-03-2006,
203,S9038196W,Illness,Allergy,27-07-1982,
257,S7032633S,Illness,Allergy,03-12-1991,
270,S7739540U,Illness,Allergy,06-09-2002,
275,S4881532P,Illness,Allergy,10-09-1997,
277,S1882817X,Illness,Allergy,26-07-2018,
309,S7058003Z,Illness,Allergy,19-07-1985,
320,S5830513Y,Illness,Allergy,26-09-1987,
326,S2259410W,Illness,Allergy,11-08-2013,
327,S5307762K,Illness,Allergy,15-05-1990,
329,S1660863F,Illness,Allergy,13-01-2017,
341,S1994682P,Illness,Allergy,19-08-1983,
344,S2280732U,Illness,Allergy,07-10-2009,
373,S6861104M,Illness,Allergy,06-12-2005,
408,S9353433F,Illness,Allergy,11-10-1991,
409,S2839757V,Illness,Allergy,21-05-2003,
416,S1580029F,Illness,Allergy,13-04-2013,
426,S4883176S,Illness,Allergy,20-10-2000,
444,S7559753G,Illness,Allergy,07-10-2004,
449,S3868334Y,Illness,Allergy,19-07-2014,
458,S3101050K,Illness,Allergy,28-02-1996,
465,S1481527D,Illness,Allergy,21-09-2016,
468,S8077513T,Illness,Allergy,15-08-1991,
492,S9516376B,Illness,Allergy,24-06-1985,
510,S1878787I,Illness,Allergy,10-08-1995,
511,S4378176B,Illness,Allergy,20-02-2000,
518,S7380271J,Illness,Allergy,23-02-2014,
549,S4553724F,Illness,Allergy,29-04-1996,
557,S4167606I,Illness,Allergy,28-12-1981,
